"RCP","variables","char_freq"
"R1","Micrstip",53
"R1","Cheisies",53
"R1","Themtria",49
"R1","Dichrepe",44
"R1","Desmvari",42
"R1","Pratpurp",41
"R1","Lomalong",39
"R1","Cymbrefr",39
"R1","Bursspin",34
"R1","Glycclan",34
"R1","Impecyli",32
"R1","Entostri",32
"R1","Breyoblo",32
"R1","Opliaemu",24
"R1","Verncine",23
"R1","Arisvaga",22
"R1","Eucatere",22
"R1","Lepilate",22
"R1","Diancaer",22
"R1","Allotoru",21
"R1","Geitcymo",21
"R1","Lomamulm",19
"R1","Eustlati",18
"R1","Plecparv",18
"R1","Gahnaspe",17
"R1","Desmbrac",16
"R1","Desmrhyt",15
"R1","Commcyan",14
"R1","Dianrevo",14
"R1","Persline",13
"R1","Brueaust",13
"R1","Adiaaeth",13
"R1","Sigeorio",13
"R1","Pomaumbe",12
"R1","Arisramo",12
"R1","Cheidist",12
"R1","Hardviol",12
"R1","Alphexce",11
"R1","Glyctaba",11
"R1","Entomarg",11
"R1","Pandpanp",11
"R1","Cayrclem",11
"R1","Pterescu",10
"R1","Bracpopu",10
"R1","Solaprin",10
"R1","Angoflor",10
"R1","Echiovat",10
"R1","Opliimbe",10
"R1","Veropleb",10
"R1","Oleavisc",9
"R1","Rytilong",9
"R1","Lomaconf",9
"R1","Echicaes",9
"R1","Clemglyc",9
"R1","Fimbdich",8
"R1","Corymacu",8
"R1","Panieffu",8
"R1","Hypegram",8
"R1","Panisimi",8
"R1","Poalabil",8
"R1","Oxalpere",8
"R1","Jackscop",8
"R1","Coryinte",8
"R1","Eucapunc",7
"R1","Leucjuni",7
"R1","Eragbrow",7
"R1","Carebrev",7
"R1","Lomafili",7
"R1","Eucacreb",7
"R1","stepjapd",7
"R1","Corrrefl",7
"R1","Billscan",7
"R1","Galileio",7
"R1","Dodovisc",6
"R1","Digiramu",6
"R1","Eragleps",6
"R1","Pittundu",6
"R1","Plecgrav",6
"R1","Lagnstip",6
"R1","Centasia",6
"R1","Clemaris",6
"R1","Denhsilv",6
"R1","Acacimpl",6
"R1","Eucasidp",6
"R1","Acacconc",6
"R1","Eucafibr",5
"R1","Rubuparv",5
"R1","Cenccali",5
"R1","Digiparv",5
"R1","Leptpoly",5
"R1","Wahlgrai",5
"R1","Eucamolu",5
"R1","Eucamico",5
"R1","Gerasola",5
"R1","Sorgleio",5
"R1","Plandebi",5
"R1","Crassieb",5
"R1","Maclcoch",5
"R1","Pellfalc",5
"R1","Hydrlaxi",5
"R1","Acacmear",5
"R1","Notemicr",5
"R1","Clertome",5
"R1","Pseuvari",5
"R1","Lissstri",4
"R1","Austrudi",4
"R1","Dicemicr",4
"R1","Poramicr",4
"R1","Zorndycd",4
"R1","Lophsuav",4
"R1","Parsstra",4
"R1","Adiahisp",4
"R1","Einahast",4
"R1","Phylgunn",4
"R1","Exocstri",4
"R1","Ficurubi",4
"R1","Allolitt",4
"R1","Gonotetr",4
"R1","Hibbobtu",4
"R1","Poa.sieb",4
"R1","Euchspha",4
"R1","Hybastel",4
"R1","Tracincs",4
"R1","Acacparr",4
"R1","Eucabitu",4
"R1","Angosubv",4
"R1","Acaclonf",3
"R1","Goodhede",3
"R1","Ozotdios",3
"R1","Glycmicr",3
"R1","Smilaust",3
"R1","Phylvirg",3
"R1","Sclemack",3
"R1","Ajugaust",3
"R1","Eucaeuge",3
"R1","Austscab",3
"R1","Chorspea",3
"R1","Goodrotu",3
"R1","Leuclanc",3
"R1","Lophconf",3
"R1","Acacmaid",3
"R1","Bankinte",3
"R1","Casuglau",3
"R1","Gerahome",3
"R1","Dodotriq",3
"R1","Eucacamn",3
"R1","Meliurce",3
"R1","Eucablak",3
"R1","Galilept",3
"R1","Lepttrin",3
"R1","Oleaelle",3
"R1","Melident",3
"R1","Acacparv",3
"R1","Solapung",3
