"RCP","variables","char_freq"
"R1","Cenccali",5
"R1","Zorndycd",4
"R1","Glycmicr",3
"R1","Phylvirg",3
"R1","Acacparv",3
"R1","Sperbrac",2
"R1","Eucatind",2
"R1","Solacamp",2
"R1","Einatrig",2
"R1","Acacbini",2
"R1","Capispic",1
"R1","Chamnoma",1
"R1","Crotmoan",1
"R1","Cypelaes",1
"R1","Murdgram",1
"R1","Acacdecu",1
"R1","Calodent",1
"R1","Coryhenr",1
"R1","Acacambl",1
"R1","Pimelati",1
"R1","Acacaula",1
"R10","Junckraa",9
"R10","Phraaust",7
"R10","Lobeance",6
"R10","Sarcquiq",6
"R10","Leptvari",5
"R10","Trigstri",4
"R10","Persstri",4
"R10","Persdeci",4
"R10","Isacglob",4
"R10","Sellradi",4
"R10","Pasudist",4
"R10","Sporvirg",3
"R10","Lepiclip",3
"R10","Spinseri",2
"R10","Lepiarti",2
"R10","Balopall",2
"R10","Avicausu",1
"R10","Samorepe",1
"R10","Suaeaust",1
"R11","Crypobov",7
"R11","Castaust",3
"R11","Dysomolm",2
"R11","Echiacul",2
"R11","Atrachar",1
"R11","Actegran",1
"R11","Carrmult",1
"R11","Endidisc",1
"R2","Eucaprav",12
"R2","Corytrac",9
"R2","Eucaross",8
"R2","Eucaandr",7
"R2","Persseri",7
"R2","leptnova",6
"R2","Cleirigi",6
"R2","Harmdens",5
"R2","Eucamann",5
"R2","Angoleio",5
"R2","Acrorigi",5
"R2","Grevflof",5
"R2","Xantacau",4
"R2","Eucasidx",4
"R2","Digibrev",4
"R2","Allogymn",4
"R2","Crypamar",3
"R2","Ozotobco",3
"R2","Hybamono",3
"R2","Sanncunn",3
"R2","Melaunci",3
"R2","Perscorn",3
"R2","Acacneri",3
"R2","Eucanubi",3
"R2","Perscusp",3
"R2","allodimt",3
"R2","Phebsquu",3
"R2","Acactrip",3
"R2","Dodotria",2
"R2","Grevtrit",2
"R2","damplanl",2
"R2","Laxmcomp",2
"R2","Eucayoum",2
"R2","Actiheli",2
"R2","Dodofalc",2
"R2","Persterm",2
"R2","Rytifulv",2
"R2","Hovelanc",2
"R2","Drospelt",2
"R2","Luzuflac",2
"R2","Acaclinr",2
"R2","Pultcine",2
"R2","Wahllute",2
"R2","Leucatte",2
"R2","Goodglab",2
"R2","Eucachlo",1
"R2","Casscunn",1
"R2","Acacmari",1
"R2","Bracmuli",1
"R2","Hibbcove",1
"R2","Acacpenn",1
"R2","Triomitc",1
"R2","Melaerub",1
"R2","Acacconf",1
"R2","Bossconc",1
"R2","Persfast",1
"R2","Pultsetu",1
"R2","Isopdaws",1
"R2","Grevseri",1
"R2","Digidiff",1
"R2","Eucamcki",1
"R2","Pultmicr",1
"R2","Homoflav",1
"R2","Leucbifl",1
"R2","Ariscaly",1
"R2","Isoppeti",1
"R2","Grevramr",1
"R2","Hibbinca",1
"R2","Acaccaro",1
"R2","Boroglab",1
"R2","Davilept",1
"R3","Eucacame",2
"R3","Persoleo",2
"R3","Xantmala",1
"R3","Brahstua",1
"R3","Derwarcu",1
"R3","Baecomis",1
"R3","Styllari",1
"R3","Acacfimb",1
"R3","Leptgreg",1
"R3","Chorpauc",1
"R3","Lomafras",1
"R4","Acacdeal",12
"R4","Aspescop",7
"R4","Poacosti",6
"R4","Coprhirt",5
"R4","Aspegunn",5
"R4","Coroscor",5
"R4","Leptmyrt",5
"R4","Epacbrev",4
"R4","Eucafast",4
"R4","Hypejapo",4
"R4","Ranugran",4
"R4","Baecutil",3
"R4","Gerapote",3
"R4","Baloaust",3
"R4","Eucastel",3
"R4","Oreoerio",3
"R4","Polyprol",3
"R4","Eucarubi",3
"R4","Kunzeric",2
"R4","Eucanobi",2
"R4","Deyegunn",2
"R4","Neopaust",2
"R4","Eucadeld",2
"R4","Tasmxerx",2
"R4","Geranegl",2
"R4","Pratpedu",2
"R4","Eucaovat",2
"R4","Eucarobe",2
"R4","Micrlanc",2
"R4","Ranupimp",2
"R4","Bedfarbo",2
"R4","Crascool",2
"R4","Veroderw",2
"R4","Bossbuxi",2
"R4","Poa.cliv",2
"R4","Luzumode",2
"R4","Acroserr",2
"R4","Eucafrax",1
"R4","Ranupleb",1
"R4","Geraantr",1
"R4","Senepinf",1
"R4","Davilati",1
"R4","Celmcost",1
"R4","Poa.helm",1
"R4","Rytinivi",1
"R4","Oleaphlo",1
"R4","Derwperf",1
"R4","Rytinudi",1
"R4","Planhisp",1
"R4","Richcont",1
"R4","Hookhook",1
"R4","Heliruti",1
"R4","Baecgunn",1
"R4","Poa.fawc",1
"R4","Crasmaxg",1
"R4","Solegunn",1
"R4","Poa.hiem",1
"R4","Tasmlanc",1
"R4","Eucavolc",1
"R4","Senegunn",1
"R4","Verosubt",1
"R4","Acipsimp",1
"R4","Acrohook",1
"R4","Hovemont",1
"R4","Cassmont",1
"R4","Bracscap",1
"R4","Leptfili",1
"R4","Arrhmixt",1
"R4","Acaeechi",1
"R4","Epacglac",1
"R4","Oreodist",1
"R5","Cordstri",12
"R5","Dorysass",11
"R5","Polyeleg",10
"R5","Arthtene",10
"R5","Cryprigi",10
"R5","Crypglau",9
"R5","Drypdep.",8
"R5","Palmscan",8
"R5","Tasminsi",8
"R5","Alchilic",7
"R5","Caldpani",7
"R5","Dendexce",6
"R5","Micrscan",6
"R5","Melimicr",6
"R5","Alpicaer",6
"R5","Sarcharv",6
"R5","Lomaspic",6
"R5","Crypmicr",6
"R5","Tetrnite",5
"R5","Embeaust",5
"R5","Gossbidw",5
"R5","Scolbrau",5
"R5","Pyrrconc",5
"R5","Arytdiva",5
"R5","Ripofawc",5
"R5","Hymeflav",5
"R5","Araucunn",5
"R5","baloinop",5
"R5","Cupaparv",4
"R5","Oleapani",4
"R5","Alocbris",4
"R5","Melielle",4
"R5","Sloaaust",4
"R5","Endisieb",4
"R5","Cordpeti",4
"R5","Austblab",4
"R5","Cyatleic",4
"R5","Schiovat",4
"R5","Alectome",3
"R5","Hodgovat",3
"R5","Doodcaud",3
"R5","Gonooreo",3
"R5","Aneibifl",3
"R5","Dysofras",3
"R5","Litsaust",3
"R5","Endimuel",3
"R5","Meiosten",3
"R5","Cinnoliv",3
"R5","Eurofalf",3
"R5","Todebarb",3
"R5","Sarcfalc",3
"R5","Oritexce",3
"R5","Wateflor",2
"R5","Ehreacua",2
"R5","Elaeobov",2
"R5","Sarcsims",2
"R5","Dysorufu",2
"R5","glocsuma",2
"R5","Eucagran",2
"R5","Miscpyri",2
"R5","Homapopu",2
"R5","Paraprup",2
"R5","Celasubs",2
"R5","Siphaust",2
"R5","Ptertrem",2
"R5","Bracacer",2
"R5","Cycllong",2
"R5","Pipehehe",2
"R5","Jasmvolu",2
"R5","Actelind",2
"R5","Casemult",2
"R5","Dendphot",2
"R5","Ixorbeck",2
"R5","Cypetetr",2
"R5","Dendpugi",2
"R5","Davasoli",2
"R5","Psycdaph",2
"R5","Quinverd",2
"R5","Sloawool",2
"R5","Daphapat",2
"R5","Ripodisc",2
"R5","Heriacti",2
"R5","Drymmoor",2
"R5","Crinpedu",2
"R5","Sticloba",2
"R5","Chorlept",1
"R5","Elatxylo",1
"R5","Ficuwatk",1
"R5","Polyaust",1
"R5","Aneiacum",1
"R5","Rhodpsid",1
"R5","denhcela",1
"R5","Citrmoor",1
"R5","Endipube",1
"R5","Pollcris",1
"R5","Platsupe",1
"R5","Daviarbo",1
"R5","Tooncili",1
"R5","Blecpate",1
"R5","Legnmoor",1
"R5","Bridexal",1
"R5","Ficuobli",1
"R5","Rhysbifb",1
"R5","Plectrid",1
"R5","Cypedisj",1
"R5","Dictbrow",1
"R5","Eucaquad",1
"R5","Dendgrac",1
"R5","Lobetrig",1
"R5","Asplpoly",1
"R5","Daphtenu",1
"R5","Fielaust",1
"R5","Geisbent",1
"R5","Ripoelse",1
