Site.no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius,CharacteristicSpeciesComparisonSet
TWR53B3M,3014,Primary,722.42,823.53,14.19,Rainforests
PRK86B2V,3014,Primary,713.43,828.05,14.05,Rainforests
TWINH04,3014,Primary,551.48,791.32,14.64,Rainforests
TWINH17,3014,Primary,1055.84,937.05,12.22,Rainforests
TWINH18,3014,Primary,935.33,868.77,13.28,Rainforests
TWR10,3014,Secondary,1218.25,967.38,12.1,Rainforests
TWR13,3014,Primary,637.05,811.28,14.26,Rainforests
TWR14,3014,Primary,741.49,857.76,13.52,Rainforests
TWR15,3014,Primary,855.38,897.55,12.98,Rainforests
TWR22,3014,Primary,995.18,963.63,12.12,Rainforests
TWR23,3014,Primary,934.65,905.14,12.85,Rainforests
TWR24,3014,Primary,1006.96,907.78,12.81,Rainforests
TWR26,3014,Primary,823.78,856.24,13.53,Rainforests
TWR27,3014,Primary,814.75,850.97,13.61,Rainforests
TWR29,3014,Primary,651.65,824.27,14.04,Rainforests
TWR39,3014,Primary,885.48,917.51,12.64,Rainforests
TWR41,3014,Primary,881.52,866.48,13.36,Rainforests
TWR42,3014,Primary,947.53,947.45,12.24,Rainforests
BRBB8P7L,4157,Primary,145.99,754.16,17.07,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRBC1P6C,4157,Primary,213.29,795.82,16.56,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRBC2P8C,4157,Primary,181.79,791.69,16.66,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRB92P7M,4157,Primary,156.75,755.24,17.05,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRBB9P3C,4158,Primary,212.6,806.78,16.45,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRBC0P8C,4158,Primary,208.1,791.92,16.6,Dry Sclerophyll Forests (Shrub/grass sub-formation)
CSNJ0P1C,4158,Primary,202.37,795.58,16.66,Dry Sclerophyll Forests (Shrub/grass sub-formation)
CSNJ1P6U,4158,Primary,215.24,771.39,16.89,Dry Sclerophyll Forests (Shrub/grass sub-formation)
CSNJ2P5C,4158,Primary,256.31,779.48,16.82,Dry Sclerophyll Forests (Shrub/grass sub-formation)
CSNJ3P6U,4158,Primary,263.69,813.23,16.51,Dry Sclerophyll Forests (Shrub/grass sub-formation)
CSNJ4P6U,4158,Primary,275.82,811.16,16.52,Dry Sclerophyll Forests (Shrub/grass sub-formation)
PRN33N6U,4158,Primary,406.15,791.05,15.77,Dry Sclerophyll Forests (Shrub/grass sub-formation)
WAMBB16,4158,Primary,394.5,779.34,15.61,Dry Sclerophyll Forests (Shrub/grass sub-formation)
WAMBB17,4158,Primary,382.96,786.73,15.54,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BLG88P7U,4158,Primary,264.21,789.4,16.58,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRB87P7M,4158,Primary,197.64,808.38,16.47,Dry Sclerophyll Forests (Shrub/grass sub-formation)
BRB88P8M,4158,Primary,222.74,798.3,16.56,Dry Sclerophyll Forests (Shrub/grass sub-formation)
LHSGIB22,4158,Primary,174.84,782.66,16.76,Dry Sclerophyll Forests (Shrub/grass sub-formation)
LHSGIB34,4158,Primary,172.48,801.29,16.61,Dry Sclerophyll Forests (Shrub/grass sub-formation)
LHSGIB35,4158,Primary,212.8,825.83,16.34,Dry Sclerophyll Forests (Shrub/grass sub-formation)
NIGHTCAP_FF05,4159,Primary,719.41,2272.07,15.18,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB22C0C,4160,Primary,255.48,1592.33,16.51,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB23C0C,4160,Primary,353.07,1789.99,15.66,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB24C1C,4160,Primary,353.03,1770.67,15.73,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB25C5C,4160,Primary,404.76,1844.01,15.42,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB26C1C,4160,Primary,415.62,1816.14,15.52,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB27C2C,4160,Primary,421.01,1634.45,16.31,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB28C0C,4160,Primary,261.79,1659.57,16.22,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB29C6C,4160,Primary,269.55,1566.67,16.63,Dry Sclerophyll Forests (Shrubby sub-formation)
NEF6081,4160,Primary,286.02,1703.44,16.01,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB11C3C,4161,Primary,607.5,1785.76,15.39,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB12C8R,4161,Primary,482.72,1860.07,15.09,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB13C3U,4161,Primary,466.41,1757.62,15.54,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB15C7M,4161,Primary,410.28,1776.06,15.47,Dry Sclerophyll Forests (Shrubby sub-formation)
