Site no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius
TLRF2,3001,Primary,120.83,1774.8,18.34
BLN07B4M,3001,Primary,72.25,1752.28,18.93
BLN08B5M,3001,Primary,70.51,1733.89,19.04
BYR93B7M,3001,Primary,51.44,1760.6,19.19
BYR94B6L,3001,Primary,49.59,1759.66,19.19
BYR95B7U,3001,Primary,55.67,1762.08,19.17
DNN01B2C,3001,Primary,114.38,1665.49,18.8
DNN02B2M,3001,Primary,82.12,1671.06,18.77
DNN03B2F,3001,Primary,39.14,1656.02,18.94
DNN05B2M,3001,Primary,85.83,1665.18,18.85
DNN06B2C,3001,Primary,105.06,1665.17,18.81
DNN16B3U,3001,Primary,119.87,1725.6,18.71
DNN17B5L,3001,Primary,51.5,1607.7,19.1
DNN18B4L,3001,Primary,25.79,1595.49,19.11
DNN19B5L,3001,Primary,53.12,1609.4,19.11
DNN20B3L,3001,Primary,40.53,1612.41,18.93
DNN23B1L,3001,Primary,48.86,1664.29,19.08
DNN24B3M,3001,Primary,63.56,1643.6,19.18
DNN25B3M,3001,Primary,39.16,1654.42,19.06
DNN26B4U,3001,Primary,59.12,1648.13,19.12
DNN31B4M,3001,Primary,34.79,1552.25,19.15
DNN32B7M,3001,Primary,30.68,1553.26,19.15
LSM03B2C,3001,Primary,182.96,1673.99,18.2
LSM04B2C,3001,Primary,184.39,1675.94,18.19
LSM05A2F,3001,Primary,11.15,1420.51,19.13
LSM06B2C,3001,Primary,183,1674.34,18.21
LSM07B2L,3001,Primary,134.76,1738.08,18.41
LSM08B2L,3001,Primary,135.24,1741.82,18.39
LSM10A2F,3001,Primary,8.91,1421.48,19.11
LSM13B2U,3001,Primary,179.13,1693.06,18.23
LSM14B5S,3001,Primary,186.19,1693.03,18.25
LSM15A8F,3001,Primary,6.83,1349.78,19.12
LSM27B1U,3001,Primary,160.16,1613.69,18.31
BYR40B6U,3001,Primary,121.52,1854.96,19.11
BYR41B7U,3001,Primary,136.97,1864.68,19.05
LSM28B3M,3001,Primary,162.46,1602.05,18.35
LSM29B8M,3001,Primary,157.89,1603.68,18.34
LSM30B7L,3001,Primary,133.89,1617,18.33
LSM31B1M,3001,Primary,95.87,1671.17,18.68
BYR64B3U,3001,Primary,129.45,1868.06,18.99
LSM32B3U,3001,Primary,103.66,1679.71,18.64
LSM33B7L,3001,Primary,115.14,1726.89,18.53
LSM34B2L,3001,Primary,106.5,1725.79,18.54
WRD03B7C,3001,Primary,168.85,1653.22,18.58
WRD04B1U,3001,Primary,172.16,1652.81,18.58
WRD05B2U,3001,Primary,171.8,1638.55,18.65
WRD06B1U,3001,Primary,172.05,1644.95,18.62
WRD17B7F,3001,Primary,166.82,1697.18,18.17
BYR96B3U,3001,Primary,140.45,1901.14,18.88
BYR97B2M,3001,Primary,136.53,1889.71,18.92
DNN04B2L,3001,Primary,51.91,1669.87,18.81
DNN10B3C,3001,Primary,202.61,1856.47,17.85
DNN11B6F,3001,Primary,22.33,1600.13,19.18
DNN12B1F,3001,Primary,22.63,1602.32,19.17
DNN13B1F,3001,Primary,23.27,1599.85,19.17
DNN14B7F,3001,Primary,20.94,1601.2,19.13
LSM09A2F,3001,Primary,12.06,1418.16,19.14
LSM11A2F,3001,Primary,11.19,1423.62,19.12
LSM12B2U,3001,Primary,54.82,1373.92,19.04
LSM35B3M,3001,Primary,49.15,1547.33,19.16
LSM36B3M,3001,Primary,50.35,1546.51,19.16
TDWLRF1,3001,Primary,60.51,1463.5,18.79
DNN34J4L,3001,Secondary,61.62,1464.8,18.81
BALL02VB,3002,Primary,41.11,1747.51,19.46
BLN04B3M,3002,Primary,49.88,1752.46,19.44
BLN06B5S,3002,Primary,37.72,1805.11,19.17
BLN01B2M,3002,Primary,61.1,1745.33,18.94
BLN02B4M,3002,Primary,35.04,1753.13,18.92
BLN03B2M,3002,Primary,25.93,1705.36,19.18
BWK08B7U,3002,Primary,23.71,1855.61,19.21
BYR51B7M,3002,Primary,64.13,1890.31,18.89
BYR53B1L,3002,Primary,19.66,1961.1,18.65
BYR63B5L,3002,Primary,49.53,1910.83,18.82
BYR72B2L,3002,Primary,43.78,1892.15,18.7
BYR74B2V,3002,Primary,114.53,1878.48,18.74
BYR78B2M,3002,Primary,101,1739.07,18.87
BYR80B2L,3002,Primary,96.98,1733.48,18.89
DNN21B4M,3002,Primary,89.21,1651.06,19.04
DNN22B4M,3002,Primary,63.24,1634.62,19.1
DNN27B7M,3002,Primary,79.16,1651.87,19.01
DNN28B7U,3002,Primary,101.84,1681.66,18.84
DNN29B3L,3002,Primary,76.57,1699.43,18.89
DNN30B8M,3002,Primary,45.73,1679.69,19
DNN33B8V,3002,Primary,162.46,1833.55,18.38
HNB33B5L,3002,Primary,170.18,1851.48,18.84
HNB38B5L,3002,Primary,159.37,1856.53,18.81
HNB44B2L,3002,Primary,149.57,2043.39,18.21
HNB45R3M,3002,Primary,172.69,1934.68,18.54
LSM20B8M,3002,Primary,48.76,1551.05,18.88
LSM21B4V,3002,Primary,49.91,1565.56,18.76
NMB07B6L,3002,Primary,226.15,1595.77,17.85
NMB08B1M,3002,Primary,237.02,1598.9,17.79
NMB10B3L,3002,Primary,222.4,1583.68,17.67
BYR73B6L,3002,Primary,43.85,1888.38,18.72
PTV02J8M,3002,Primary,45.91,1895.46,19.14
BUI18R5L,3002,Primary,119.41,1886.33,18.78
BRU42VBR,3002,Secondary,0.45,1817.51,19.46
NMB16B7L,3002,Secondary,139.05,1809.12,17.74
BYR75B2U,3002,Secondary,85.58,1804.35,19.22
NCT120-2,3002,Secondary,524.55,1703.8,17.9
DNN38B1L,3002,Secondary,92.87,1572.46,18.17
AFT05B5L,3003,Primary,389.3,1195.54,17.1
AFT07J3G,3003,Primary,297.3,1162.93,17.52
AFT08J3S,3003,Primary,429.41,1216.93,16.86
CUT01-3,3003,Primary,842.66,1279.16,13.61
CUT07-2,3003,Primary,758.97,1261.09,15.01
CUT16-3,3003,Primary,603.85,1234.01,15.59
CUT28-3,3003,Primary,412.14,1207.85,16.97
CUTOO003,3003,Primary,383.98,1236.26,16.91
HGR05J8M,3003,Primary,385.81,1234.28,16.8
