SiteName,SurveyName,Squirrel,Lat,Longit,group,R4Assign_Owner,R4_Category
01DPT1,SFDATA,,-32.19720293,151.2675757,R9.1,DB,Primary
01DT2001,DTHOMAS,,-33.72940187,150.7935227,R1.1,TH,Primary
01MPT1,SFDATA,,-32.16288081,151.3175331,R9.1,DB,Primary
01RPT1,SFDATA,,-32.16985101,151.3126329,R5.77,DB,Primary
02DT2001,DTHOMAS,,-33.93659704,150.8133943,R1.45,TH,Primary
02MPT1,SFDATA,,-32.20510322,151.2714572,R9.1,DB,Primary
02RPT1,SFDATA,,-32.18632666,151.3171018,R5.77,DB,Primary
NRAC714,NRAC,,-29.65096085,152.5071909,R9.115,DB,Primary
03DT2001,DTHOMAS,,-33.93659127,150.8130699,R1.45,TH,Primary
03MPT1,SFDATA,,-32.24114637,151.3020824,R9.122,DB,Primary
03RPT1,SFDATA,,-32.21458322,151.3054411,R5.77,DB,Primary
04RPT1,SFDATA,,-32.20842558,151.2507069,R5.77,DB,Primary
05DT2001,DTHOMAS,,-33.95216679,150.8734776,R1.45,TH,Primary
05MPT1,SFDATA,,-32.14382765,151.2890471,R9.1,DB,Primary
060301-3,BRG-CMA,,-30.40187272,151.3200379,R6.50,TH,Primary
060405-1,BRG-CMA,,-30.24296076,150.245316,R6.51,KT,Primary
060531-1,BRG-FF,,-30.04267987,151.2465504,R6.3,TH,Primary
060925-3,BRG-FF,,-29.71773604,151.2981853,R6.172,KT,Primary
061020-2,BRG-FF,,-30.000501,151.103578,R6.82,DC,Primary
070502-1,BRG-FF,,-29.8264581,150.6887228,R6.8,KT,Primary
070502-2,BRG-FF,,-29.83519784,150.6845069,R6.134,DC,Primary
070502-3,BRG-FF,,-29.81446163,150.6769886,R6.8,KT,Primary
070509-1,BRG-FF,,-30.26130656,150.269895,R6.51,KT,Primary
070510-1,BRG-FF,,-30.24351997,150.2526135,R6.51,KT,Primary
070914-1,BRG-FF,,-30.12483333,150.6348167,R6.9,TH,Primary
070914-2,BRG-FF,,-30.12751667,150.6375,R6.9,TH,Primary
070914-3,BRG-FF,,-30.12718333,150.6375,R6.9,TH,Primary
070914-4,BRG-FF,,-30.12771667,150.6359333,R6.9,TH,Primary
070914-5,BRG-FF,,-30.12598333,150.6369833,R6.9,TH,Primary
070914-6,BRG-FF,,-30.12481667,150.63735,R6.9,TH,Primary
070919-1,BRG-FF,,-30.12668333,150.6359833,R6.9,TH,Primary
070919-2,BRG-FF,,-30.12538333,150.6382667,R6.9,TH,Primary
070919-3,BRG-FF,,-30.15916667,150.6473667,R6.9,TH,Primary
070919-4,BRG-FF,,-30.16168056,150.6489333,R6.9,TH,Primary
070919-5,BRG-FF,,-30.16545,150.6496667,R6.9,TH,Primary
070920-1,BRG-FF,,-30.22208225,151.082504,R6.17,TH,Primary
07DT2001,DTHOMAS,,-33.95215183,150.8726124,R1.45,TH,Primary
08DT2001,DTHOMAS,,-33.76378328,150.8825709,R1.45,TH,Primary
09DT2001,DTHOMAS,,-33.76316903,150.8835576,R1.45,TH,Primary
1001_20,DT_BMUPSWAMPS,,-33.74583596,150.3886035,R8.2,DC,Primary
1002_20,DT_BMUPSWAMPS,,-33.77262251,150.4616333,R8.2,DC,Primary
1003_20,DT_BMUPSWAMPS,,-33.77418568,150.442597,R8.90,DC,Primary
1004_20,DT_BMUPSWAMPS,,-33.73858168,150.4469245,R8.20,DC,Primary
1005_20,DT_BMUPSWAMPS,,-33.84358572,150.4303087,R8.27,DC,Primary
1006_20,DT_BMUPSWAMPS,,-33.83856256,150.4160142,R8.2,DC,Primary
1008_20,DT_BMUPSWAMPS,,-33.58968322,150.3852093,R8.2,DC,Primary
1009_20,DT_BMUPSWAMPS,,-33.5943876,150.3812858,R8.2,DC,Primary
1010_20,DT_BMUPSWAMPS,,-33.59866583,150.389183,R8.2,DC,Primary
1011_20,DT_BMUPSWAMPS,,-33.47451334,150.2361152,R8.52,DC,Primary
1013_20,DT_BMUPSWAMPS,,-33.37905282,150.2796004,R8.2,DC,Primary
1014_20,DT_BMUPSWAMPS,,-33.3468052,150.3152913,R7.1,DC,Primary
1015_20,DT_BMUPSWAMPS,,-33.32058767,150.3107479,R8.2,DC,Primary
1016_20,DT_BMUPSWAMPS,,-33.63660205,150.442966,R8.2,DC,Primary
1018_20,DT_BMUPSWAMPS,,-33.63303125,150.440765,R8.2,DC,Primary
1020_20,DT_BMUPSWAMPS,,-33.37697354,150.1547783,R4.2,KT,Primary
1021_20,DT_BMUPSWAMPS,,-33.28384805,150.3413427,R7.80,DC,Primary
1022_20,DT_BMUPSWAMPS,,-33.29179347,150.3427119,R7.80,DC,Primary
10220G2,FC_NCmonitoring,,-30.70547799,152.1116547,R5.2,DB,Primary
10220G4,FC_NCmonitoring,,-30.70976521,152.1171292,R5.62,DB,Primary
10220G5,FC_NCmonitoring,,-30.7052609,152.1168674,R5.77,DB,Primary
10220G8,FC_NCmonitoring,,-30.70503458,152.1220802,R5.30,DB,Primary
1024_20,DT_BMUPSWAMPS,,-33.35278443,150.3594877,R8.2,DC,Primary
1025_20,DT_BMUPSWAMPS,,-33.35236141,150.3701363,R8.2,DC,Primary
1026_20,DT_BMUPSWAMPS,,-33.54018707,150.3475548,R8.2,DC,Primary
1027_20,DT_BMUPSWAMPS,,-33.35067188,150.3585095,R8.2,DC,Primary
1028_20,DT_BMUPSWAMPS,,-33.35486972,150.3541067,R8.2,DC,Primary
1029_20,DT_BMUPSWAMPS,,-33.3464024,150.3544704,R8.2,DC,Primary
105_20,DT_BMUPSWAMPS,,-33.69494703,150.3599986,R8.2,DC,Primary
10693G2,FC_NCmonitoring,,-30.76245086,152.847046,R1.33,DB,Primary
10693G5,FC_NCmonitoring,,-30.76220424,152.8522604,R5.7,DB,Primary
10693G6,FC_NCmonitoring,,-30.75768202,152.8519516,R5.78,DB,Primary
10693G8,FC_NCmonitoring,,-30.7619484,152.8574749,R9.115,DB,Primary
10A_A14,ELA_MOOLARBEN_OFFSET,OEHinternal,-32.23570412,149.7997267,R2.3,DC,Primary
10b_A14,ELA_MOOLARBEN_OFFSET,OEHinternal,-32.23379417,149.7955838,R2.186,DC,Primary
10DT2001,DTHOMAS,,-33.76382031,150.8847291,R1.45,TH,Primary
CAS03ALB,CCAFNCVEG,,-28.84949172,153.054356,R1.15,EM,Primary_Wetland
110122-1,GS_OPPORTS,,-33.65527075,150.2735473,R5.24,DB,Primary
115_20,DT_BMUPSWAMPS,,-33.68201546,150.3522737,R8.2,DC,Primary
