Row Labels,Elevation_Min,Elevation_Max,Elevation_Med,RainfallAnn_Min,RainfallAnn_Max,RainfallAnn_Med,TempAnn_Min,TempAnn_Max,TempAnn_Med
R1.1,0.904665768,247.9452209,36.67052841,791.0925903,976.4376221,869.4786987,15.35982704,17.09686661,16.86877251
R1.105,353.7477417,957.2094727,464.9089509,804.7247314,988.6411743,901.455719,12.84568977,17.21125031,15.49450159
R1.106,44.41127396,373.1356201,167.8163452,831.5574341,1102.118408,933.6903687,12.73735428,15.15336132,14.1110878
R1.106a,988.4078369,1044.864868,1024.849243,1067.29834,1240.089111,1078.483643,12.41557693,12.55165958,12.45666981
R1.107,102.1496506,780.8269653,447.0168457,622.6387939,832.5932007,760.0595093,12.37302113,17.11838341,15.35871887
R1.108,9.200785637,299.1026917,122.394455,974.6170044,1123.182251,1022.899567,16.01304817,17.61900139,17.10316849
R1.108p,130.5418243,500.9890747,315.7654495,853.5256348,1132.449707,992.9876709,15.3204174,17.1563282,16.2383728
R1.109a,3.419744968,3.49571991,3.457732439,1722.534424,1803.151245,1762.842835,19.47762871,19.78072357,19.62917614
R1.11,138.7287903,369.1985168,273.5197144,678.0193481,979.1289673,791.3183289,15.6535511,17.22696495,16.06479549
R1.110,33.75811386,256.4173279,73.52351761,622.6965942,921.996521,750.0354004,16.48733902,17.76138687,17.52106476
R1.114,398.2463074,979.663147,782.2207031,839.8817139,1265.454346,996.9105225,12.72494984,16.07026482,13.81189442
R1.116,9.404704094,25.47333527,15.51000404,1120.379272,1174.123291,1154.678711,16.79356766,17.10416985,16.91740036
R1.12,7.87341547,166.788147,24.00328636,1039.240723,1387.789429,1145.493896,14.80830193,16.88111115,16.61059189
R1.12p,492.9361572,492.9361572,492.9361572,1068.278442,1068.278442,1068.278442,14.96658421,14.96658421,14.96658421
R1.13,201.5415344,617.8163452,386.0134735,578.3045044,684.7086182,613.1470032,13.84248161,16.59358215,15.4597764
R1.14,41.80722427,156.9505615,106.8969269,1324.261353,1552.462646,1397.098755,16.04307747,16.71058464,16.44476509
R1.15,18.32596016,19.11643028,18.66346359,1034.700928,1036.414307,1036.307129,19.02369118,19.03131676,19.0297718
R1.16,76.6893692,386.4745789,204.6823578,846.6454468,1143.565918,1097.046509,15.86345005,17.59829712,16.82616902
R1.17b,96.34796143,629.4552002,329.3722077,849.833374,1115.701904,921.5477906,11.69298458,15.60074329,13.58521318
R1.18,523.3164063,549.2373047,538.9794312,696.0810547,722.975708,721.3018494,13.41275406,14.67442513,13.47696352
R1.18b,964.6165161,964.6165161,964.6165161,1136.527222,1136.527222,1136.527222,13.0399847,13.0399847,13.0399847
R1.18p,339.7999268,656.1104126,587.680481,741.0776367,874.3724976,831.0297241,12.45266151,13.67899418,13.34571648
R1.18q,664.7071533,989.5948486,937.4076538,882.0525513,1050.103271,1040.501953,9.738717079,11.93413258,9.865134239
R1.1p,96.69807434,96.69807434,96.69807434,1257.99939,1257.99939,1257.99939,16.17255592,16.17255592,16.17255592
